,GPU,TP,EP,BatchSize,DenseMLA,DenseMLP,SparseMLA,Combine,SharedExpert,RoutedExpert,Dispatch,COMP_SUM,COMM_SUM,Delta,TPOT,TPOT_O,TPS,TPS_O,Total,Total_O,Comm_Impact,index_value
0,GB300-NVL72,4,72,256,0.24499827929592755,0.06224017292047059,0.18614766080984727,0.02830065359477124,0.008094585399215686,0.044168447899607846,0.02830065359477124,0.23841069410867077,0.05660130718954248,-0.13764093901952046,14.7495356149521,14.7495356149521,67.79874472700459,67.79874472700459,17356.478650113175,17356.478650113175,0.0,8
1,GB300-NVL72,4,36,256,0.24499827929592755,0.06224017292047059,0.18614766080984727,0.02830065359477124,0.009568348687058824,0.07654678949647059,0.02830065359477124,0.2722627989933767,0.05660130718954248,-0.1391147023073636,16.71295769826504,16.71295769826504,59.83381386191202,59.83381386191202,15317.456348649477,15317.456348649477,0.0,8
2,GB300-NVL72,1,72,512,0.4899965585918551,0.07815681642917648,0.5399965585918551,0.04660130718954249,0.010199961524705883,0.06101145690352941,0.04660130718954249,0.6112079770200904,0.09320261437908497,-0.45699390573747606,37.15452279222834,37.15452279222834,26.914623707915617,26.914623707915617,13780.287338452796,13780.287338452796,0.0,8
3,GB300-NVL72,1,36,512,0.4899965585918551,0.07815681642917648,0.5399965585918551,0.04660130718954249,0.011042111974901962,0.08833689579921569,0.04660130718954249,0.6393755663659728,0.09320261437908497,-0.45783605618767215,38.78824297428952,38.78824297428952,25.78100793745265,25.78100793745265,13199.876063975757,13199.876063975757,0.0,8
4,GB300-NVL72,4,16,256,0.24499827929592755,0.06224017292047059,0.18614766080984727,0.02830065359477124,0.010199961524705883,0.12277616278588235,0.02830065359477124,0.3191237851204355,0.05660130718954248,-0.13974631514501068,19.430894893634452,19.430894893634452,51.46443359783699,51.46443359783699,13174.895001046269,13174.895001046269,0.0,8
5,GB300-NVL72,8,72,128,0.12249913964796377,0.05428185116611765,0.11487168191452587,0.01915032679738562,0.007357703755294117,0.038273394748235295,0.01915032679738562,0.16050278041805527,0.03830065359477124,-0.08392873207504874,9.83950423668945,9.83950423668945,101.63113668585146,101.63113668585146,13008.785495788987,13008.785495788987,0.0,8
6,GB300-NVL72,1,16,512,0.4899965585918551,0.07815681642917648,0.5399965585918551,0.04660130718954249,0.013989638550588233,0.15309357899294118,0.04660130718954249,0.7070797761353845,0.09320261437908497,-0.4607835827633584,42.715087140915394,42.715087140915394,23.41093198993225,23.41093198993225,11986.397178845313,11986.397178845313,0.0,8
7,GB300-NVL72,1,320,512,0.4899965585918551,0.07815681642917648,0.5399965585918551,0.33941176470588236,0.010199961524705883,0.04557028043294118,0.33941176470588236,0.5957668005495023,0.6788235294117647,0.1286270092952037,43.719301096056036,36.25893455693422,22.87319273020609,27.579409384734895,11711.074677865518,14120.657604984266,0.17064240168731387,8
8,GB300-NVL72,1,144,512,0.4899965585918551,0.07815681642917648,0.5399965585918551,0.33941176470588236,0.010199961524705883,0.05071733925647059,0.33941176470588236,0.6009138593730317,0.6788235294117647,0.1286270092952037,44.01783050782074,36.557463968698926,22.718066484951546,27.35419505182897,11631.650040295192,14005.347866536433,0.16948510303787723,8
9,GB300-NVL72,8,36,128,0.12249913964796377,0.05428185116611765,0.11487168191452587,0.01915032679738562,0.007673510174117647,0.06138808139294118,0.01915032679738562,0.1839332734815847,0.03830065359477124,-0.08424453849387227,11.198472834374158,11.198472834374158,89.29789041684865,89.29789041684865,11430.129973356627,11430.129973356627,0.0,8
10,GB300-NVL72,1,320,256,0.24499827929592755,0.06224017292047059,0.29499827929592753,0.17470588235294118,0.007673510174117647,0.025358669628235294,0.17470588235294118,0.3280304590982805,0.34941176470588237,0.046739975235837186,22.65840054802802,19.947481984349462,44.133741827025425,50.13164071458178,11298.237907718509,12833.700022932935,0.11964298000348003,8
11,GB300-NVL72,4,144,256,0.24499827929592755,0.06224017292047059,0.18614766080984727,0.17470588235294118,0.007673510174117647,0.030505728451764705,0.17470588235294118,0.22432689943572964,0.34941176470588237,0.15559059372191744,22.956929959792724,13.932675523921514,43.55983146489631,71.77372345197188,11151.316855013456,18374.0732037048,0.39309500232289296,8
12,GB300-NVL72,1,8,512,0.4899965585918551,0.07815681642917648,0.5399965585918551,0.04660130718954249,0.015252864225882352,0.2455523255717647,0.04660130718954249,0.8008017483895022,0.09320261437908497,-0.46204680843865253,48.150961531654225,48.150961531654225,20.768017256365784,20.768017256365784,10633.224835259281,10633.224835259281,0.0,8
13,GB300-NVL72,8,320,128,0.12249913964796377,0.05428185116611765,0.11487168191452587,0.09235294117647058,0.00641028449882353,0.015252864225882352,0.09235294117647058,0.13653483063923175,0.18470588235294116,0.06342391593959176,12.127950274014008,8.449363149517685,82.45416392765505,118.35211510077927,10554.132982739846,15149.070732899747,0.303314825785381,8
14,GB300-NVL72,4,144,128,0.12249913964796377,0.05428185116611765,0.12557383040492362,0.09235294117647058,0.0066208221113725485,0.022084223949803923,0.09235294117647058,0.15427887646610008,0.18470588235294116,0.052511229836644996,12.52416913800146,9.47851780747605,79.84561602300228,105.50172720161625,10220.238850944292,13504.22108180688,0.24318190667707787,8
15,GB300-NVL72,8,320,64,0.061249569823981886,0.05030269028894118,0.08993584095726294,0.051176470588235295,0.0058839404674509805,0.011042111974901962,0.051176470588235295,0.10686189339961588,0.10235294117647059,0.006533159751756672,6.911569863118377,6.53264659751649,144.68492973444646,153.0773148481917,9259.835503004573,9796.948150284268,0.054824486058355854,8
16,GB300-NVL72,8,16,128,0.12249913964796377,0.05428185116611765,0.11487168191452587,0.01915032679738562,0.009568348687058824,0.11772326008470588,0.01915032679738562,0.24216329068629058,0.03830065359477124,-0.08613937700681346,14.575813832247098,14.575813832247098,68.6068038127401,68.6068038127401,8781.670888030732,8781.670888030732,0.0,8
17,GB300-NVL72,8,144,64,0.061249569823981886,0.05030269028894118,0.08993584095726294,0.051176470588235295,0.006252381289411765,0.019136697374117648,0.051176470588235295,0.11532491962079235,0.10235294117647059,0.0061647189297958874,7.381055816272887,7.023502118344726,135.48197234809106,142.3791127489083,8670.846230277828,9112.263215930132,0.04844208021566094,8
18,GB300-NVL72,8,72,64,0.061249569823981886,0.05030269028894118,0.08993584095726294,0.01457516339869281,0.00641028449882353,0.03069404069647059,0.01457516339869281,0.12704016615255706,0.02915032679738562,-0.06719579865870084,7.702986417187079,7.702986417187079,129.81977973747652,129.81977973747652,8308.465903198497,8308.465903198497,0.0,8
19,GB300-NVL72,1,8,256,0.24499827929592755,0.06224017292047059,0.29499827929592753,0.02830065359477124,0.013989638550588233,0.23544652016941175,0.02830065359477124,0.5444344380159275,0.05660130718954248,-0.25238661065697326,32.49891276157299,32.49891276157299,30.770260141822625,30.770260141822625,7877.186596306592,7877.186596306592,0.0,8
20,GB300-NVL72,8,36,64,0.061249569823981886,0.05030269028894118,0.08993584095726294,0.01457516339869281,0.007357703755294117,0.05886163004235294,0.01457516339869281,0.15615517475490998,0.02915032679738562,-0.06814321791517143,9.391656916123548,9.391656916123548,106.47748410434427,106.47748410434427,6814.558982678033,6814.558982678033,0.0,8
